"","exptID","shellID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","thick","polymorph","waxYN","cMass","pMass","cSize","finalSA","volume","densityMV","cTime1","cTime2","cDuration","rootMass","deviation","deviationStan","poros","massSA","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"36","T1.1","1.1.8.2","Liloa","E18",9,"9/4/2023 14:32","9/6/2023 14:32",27.99,21.6,"cylinder2",9.5,3.81,3.81,0.14,"Aragonite","No Wax",6.39,0.228295819935691,5.16643756643984,136.5117827,108.3087237,0.258427937,NA,NA,NA,3.03622743014444,2.34881252214661,0.454629034405455,0.908682707855068,0.0468091462408248,495.49,1.28963248501483,10803.002698345,1.26364665928403,1.02056415497156
"37","T1.1","1.1.8.5","Liloa","E18",7,"9/4/2023 14:32","9/6/2023 14:32",86.68,79.82,"cylinder2",11.92,5.7,5.7,0.17,"Aragonite","No Wax",6.86000000000001,0.079141670512229,7.28912372968213,264.4875439,304.169629,0.284972567,NA,NA,NA,4.42560824520032,2.60304124322738,0.357113054979092,0.899302979834921,0.0259369492371773,495.49,1.38448808250419,10803.002698345,2.44827805088412,0.565494626725189
"38","T1.1","1.1.9.1","Ethalia","E17",1,"9/4/2023 14:32","9/6/2023 14:32",497.35,478.38,"sphere",12.82,11.2,9.73,0.45,"Aragonite","No Wax",18.97,0.0381421534130894,11.1790859710399,397.6078202,731.5053562,0.679899328,NA,NA,NA,7.92295837174065,1.03697134298672,0.0927599399157549,0.759752887685056,0.0477103292144957,495.49,3.82853337100648,10803.002698345,3.68053060156055,1.04021234584578
"39","T1.1","1.1.9.2","Ethalia","E17",6,"9/4/2023 14:32","9/6/2023 14:32",524.8,504.89,"sphere",13.94,11.98,9.66,0.45,"Aragonite","No Wax",19.91,0.0379382621951219,11.7282236582639,441.895166,844.6860863,0.621295897,NA,NA,NA,8.06611870087242,1.51059211391202,0.128799736253975,0.780460813643363,0.0450559352803601,495.49,4.01824456598518,10803.002698345,4.09048463967983,0.982339482956644
"40","T1.1","1.1.9.3","Ethalia","E17",11,"9/4/2023 14:32","9/6/2023 14:32",78.35,73.57,"sphere",8.05,6.58,5.12,0.31,"Aragonite","No Wax",4.78,0.0610082961072113,6.47287536817851,136.1574983,142.0006581,0.551758006,NA,NA,NA,4.27903987547076,1.01237487727383,0.156402652560065,0.805032506624058,0.0351064029501194,495.49,0.964701608508749,10803.002698345,1.26036715996432,0.765413158286398
"41","T1.1","1.1.9.4","Ethalia","E17",2,"9/4/2023 14:32","9/6/2023 14:32",87.92,81.73,"sphere",8.22,6.7,5.24,0.21,"Aragonite","No Wax",6.19,0.0704049135577798,6.60834390059447,141.8692977,151.1041978,0.581850149,NA,NA,NA,4.4466119057662,1.02388536646851,0.154938269235111,0.794399240646462,0.0436317096112614,495.49,1.24926840097681,10803.002698345,1.31323949147707,0.951287567183722
"42","T1.1","1.1.9.5","Ethalia","E17",2,"9/4/2023 14:32","9/6/2023 14:32",86.26,80.26,"sphere",7.74,6.66,5.6,0.29,"Aragonite","No Wax",6,0.069557152793879,6.60897951307924,139.6263402,151.1478031,0.570699661,NA,NA,NA,4.41844870930683,0.73034016230692,0.110507251665945,0.7983393423796,0.0429718346223616,495.49,1.21092252114069,10803.002698345,1.29247713898461,0.936900533569209
"43","T1.1","1.1.10.1","Notocochlis","E18",1,"9/4/2023 14:32","9/6/2023 14:32",80.15,74.75,"sphere",6.4,5.02,5.68,0.31,"Aragonite","No Wax",5.40000000000001,0.067373674360574,5.67210169819439,153.10551795,95.54999071,0.83882792,NA,NA,NA,4.3115607420253,0.462632767268537,0.0815628477563805,0.70359437442254,0.0352697934881974,495.49,1.08983026902662,10803.002698345,1.41724965016861,0.768975507524002
"44","T1.1","1.1.10.2","Notocochlis","E18",7,"9/4/2023 14:32","9/6/2023 14:32",41.35,37.01,"sphere",5.55,4.16,5.02,0.21,"Aragonite","No Wax",4.34,0.104957678355502,4.87562180102845,113.606744775,60.68601963,0.681376044,NA,NA,NA,3.45800145199883,0.511459399657182,0.104901368590422,0.759231079751495,0.0382019571865688,495.49,0.875900623625099,10803.002698345,1.05162192352691,0.832904491651826
"45","T1.1","1.1.10.3","Notocochlis","E18",4,"9/4/2023 14:32","9/6/2023 14:32",162.96,153.73,"sphere",8.41,6.01,7.81,0.28,"Aragonite","No Wax",9.23000000000002,0.0566396661757488,7.33568206836909,258.7483254,206.6903135,0.788425917,NA,NA,NA,5.46210869991395,0.958105977210305,0.13060898336115,0.721404269536521,0.0356717284478318,495.49,1.86280247835476,10803.002698345,2.39515190938201,0.777738760977128
"46","T1.1","1.1.10.4","Notocochlis","E18",1,"9/4/2023 14:32","9/6/2023 14:32",147.58,137.41,"sphere",8.18,6.38,7.63,0.25,"Aragonite","No Wax",10.17,0.0689117766635046,7.35697883741722,257.8179951,208.4957193,0.707832278,NA,NA,NA,5.28456408239942,0.69100705419426,0.0939253828867677,0.749882587186561,0.0394464319531124,495.49,2.05251367333347,10803.002698345,2.38654013424894,0.86003735863399
