"","exptID","taxon","shellID","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros","tFont","tPoint","tAbrev","tColor","tLine","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"34",1.2,"Anadara","1.2.6.6",NA,NA,NA,NA,712.14,692.17,NA,11.71,9.18,3.11,13.891,14.422,"Mixed",NA,"calcx is x",0,19.97,0.0280422388856124,NA,NA,NA,6.94043442261172,382.6075,14.1565,0.0521944812895723,334.318158,2.13012659635436,8.93007541902415,3.6131885257961,0.520599764479359,0.247305089627434,1,"A","Anada","#FF0000",1,632.63,3.15666345257101,16287.003701304,2.34915830447909,1.34374232956215
"35",1.2,"Calcite","1.2.2.1",NA,NA,NA,NA,960.78,950.34,NA,9.87,6.42,6.29,NA,NA,"Calcite",0.01,"",0,10.4399999999999,0.0108661712358708,NA,NA,NA,7.35926218137462,331.659,NA,0.0314781145694823,398.568366,2.41057766235266,9.86751930380204,1.50642072712487,0.204697249533715,0.110816059626462,3,"C","Calci","#80FF00",3,632.63,1.65025370279625,16287.003701304,2.03634140497829,0.810401290648924
"36",1.2,"Aragonite","1.2.1.5",NA,NA,NA,NA,1960.9,1941.98,NA,7.6,5.86,13.8,NA,NA,"Aragonite",NA,"",0,18.9200000000001,0.00964863073078692,NA,NA,NA,8.50217614409142,460.568,NA,0.0410797102707962,614.5968,3.19054703831846,12.516564705812,2.94739204803047,0.346663253981013,-0.127401780324542,3,"A","Arago","#FFBF00",2,632.63,2.99068966062313,16287.003701304,2.82782523075822,1.05759352738403
"37",1.2,"Anadara","1.2.6.3",NA,NA,NA,NA,932.47,915,NA,15.23,9.05,2.74,17.694,19.226,"Mixed",NA,"calcx is x",0,17.47,0.0187351871910089,NA,NA,NA,7.22824750741077,455.6493,18.46,0.0383408906806178,377.65831,2.46908375986748,9.76963389647871,4.77058416419641,0.659991811197024,0.127532240329511,1,"A","Anada","#FF0000",1,632.63,2.76148775745697,16287.003701304,2.79762507798484,0.987082857952538
"38",1.2,"Pecten","1.2.4.6",NA,NA,NA,NA,609.72,590.67,NA,19.96,12.98,1.09,21.881,22.121,"Calcite",0.01,"",0,19.0500000000001,0.0312438496358986,NA,NA,NA,6.56075634497595,647.40454,22.001,0.0294251875342117,311.2745482,1.95878527019255,8.47962826185789,9.11008121834135,1.38857179558537,0.277467624421783,3,"P","Pecte","#8000FF",7,632.63,3.01123879676906,16287.003701304,3.97497631776289,0.757548864709659
"39",1.2,"Centrostephanus","1.2.3.3",NA,NA,NA,NA,294,279.72,NA,58.6,2.9,3.04,NA,NA,"Calcite",0.08,"",0,14.28,0.0485714285714285,NA,NA,NA,8.02397805977844,559.84412084692,NA,0.0255071000449152,135.250171406266,2.17374955567989,6.64939976115097,20.2279926865928,2.52094317007035,0.198174269391408,3,"C","Centr","#00FF40",4,632.63,2.25724357049144,16287.003701304,3.43736718621913,0.656678046948558
"40",1.2,"Calcite","1.2.2.3",NA,NA,NA,NA,177.23,172.69,NA,6.53,4.5,2.42,NA,NA,"Calcite",0.01,"",0,4.53999999999999,0.025616430626869,NA,NA,NA,4.14298811091544,112.1552,NA,0.0404796210964805,71.1117,2.49227623583742,5.61710332269981,1.48900396302819,0.359403387884494,0.0806801048183615,3,"C","Calci","#80FF00",3,632.63,0.71763906232711,16287.003701304,0.688617759637522,1.04214428437754
"41",1.2,"Anadara","1.2.6.2",NA,NA,NA,NA,417.83,407.66,NA,9.27,8.2,2.45,10.5,11.568,"Mixed",NA,"calcx is x",0,10.17,0.0243400426010577,NA,NA,NA,5.71066332621234,260.7394,11.034,0.0390044619263524,186.2343,2.24357167288733,7.47595260843037,3.10311222459588,0.543389103390561,0.207218490145821,1,"A","Anada","#FF0000",1,632.63,1.60757472772395,16287.003701304,1.60090465245688,1.00416644130357
"42",1.2,"Saccostrea","1.2.5.2",NA,NA,NA,NA,278.08,262.99,NA,13.43,9.8,1.14,NA,NA,"Calcite",0,"",0,15.09,0.0542649597238204,NA,NA,NA,5.31376462442632,316.1924,NA,0.0477241072207933,150.03996,1.85337292811862,6.52714486427751,5.59207845852456,1.052376018467,0.316350819580002,3,"S","Sacco","#FF00BF",8,632.63,2.38528049570839,16287.003701304,1.94137857274929,1.22865294239365
"43",1.2,"Aragonite","1.2.1.3",NA,NA,NA,NA,1347.45,1331.87,NA,13.65,5.3,6.63,NA,NA,"Aragonite",NA,"",0,15.5800000000002,0.0115625811718432,NA,NA,NA,7.82781734301892,395.967,NA,0.0393467132362044,479.64735,2.80925142190403,11.0451313837333,3.18260578100631,0.406576398189037,0.0073316530374451,3,"A","Arago","#FFBF00",2,632.63,2.46273493195078,16287.003701304,2.43118382768156,1.0129776711699
"44",1.2,"Saccostrea","1.2.5.6",NA,NA,NA,NA,509.12,492.36,NA,10.72,9.24,2.65,NA,NA,"Calcite",0,"",0,16.76,0.0329195474544312,NA,NA,NA,6.40281386682184,303.8936,NA,0.055150881755983,262.48992,1.93957924174765,7.98497178677842,3.63572871105939,0.567832953867212,0.284552105589212,3,"S","Sacco","#FF00BF",8,632.63,2.64925786004458,16287.003701304,1.86586560409309,1.41985459951295
"45",1.2,"Saccostrea","1.2.5.4",NA,NA,NA,NA,386.61,377.49,NA,11.54,8.8,2.17,NA,NA,"Calcite",0,"",0,9.12,0.0235896640024831,NA,NA,NA,6.04017337923137,291.3796,NA,0.0312993771698499,220.36784,1.7543848503484,7.28491285741653,4.04327554025621,0.669397265012074,0.352864311933457,3,"S","Sacco","#FF00BF",8,632.63,1.44160093577605,16287.003701304,1.78903133654148,0.805799712017856
"46",1.2,"Calcite","1.2.2.6",NA,NA,NA,NA,823.5,814.44,NA,7.37,7.19,6.76,NA,NA,"Calcite",0.01,"",0,9.05999999999995,0.0110018214936247,NA,NA,NA,7.10200583412112,302.8318,NA,0.0299175978216289,358.214428,2.29890237698633,9.37319965428936,0.232664721959625,0.0327604239413326,0.152009451498955,3,"C","Calci","#80FF00",3,632.63,1.4321167190933,16287.003701304,1.85934629569559,0.770225924244811
"47",1.2,"Anadara","1.2.6.4",NA,NA,NA,NA,592.5,583.13,NA,11.25,8.64,2.52,11.011,11.895,"Mixed",NA,"calcx is x",0,9.37,0.0158143459915612,NA,NA,NA,6.25684796079561,297.42264,11.453,0.0315039904157935,244.944,2.41892024299432,8.39903617059204,3.70438401306813,0.592052745452534,0.145257864666319,1,"A","Anada","#FF0000",1,632.63,1.48111850528745,16287.003701304,1.82613478485418,0.811067462036064
